TIP_DATETIME,ORIGIN,MASS,TRUCK_ID,ROCKY_RATIO
2024-07-25T05:15:30.000000,ZONE29,239.7,DT26,1.089
2024-07-25T05:19:30.000000,ZONE6,233.6,DT22,1.33
2024-07-25T05:32:30.000000,ZONE9,238.7,DT25,3.06
2024-07-25T05:35:30.000000,ZONE6,247.2,DT32,1.286
2024-07-25T05:39:30.000000,ZONE29,238.3,DT1,1.079
2024-07-25T05:43:30.000000,ZONE6,217.9,DT13,1.317
2024-07-25T05:47:30.000000,ZONE9,233.8,DT27,3.018
2024-07-25T06:00:30.000000,ZONE8,240.2,DT13,2.432
2024-07-25T06:04:30.000000,ZONE8,255.9,DT27,2.432
2024-07-25T06:07:30.000000,ZONE9,239.5,DT14,3.079
2024-07-25T06:19:30.000000,ZONE8,259.7,DT5,2.432
2024-07-25T06:22:30.000000,ZONE8,243.9,DT13,2.432
2024-07-25T06:26:30.000000,ZONE8,248.8,DT17,2.432
2024-07-25T06:30:30.000000,ZONE7,241.4,DT31,2.065
2024-07-25T06:35:30.000000,ZONE8,254.3,DT5,2.432
2024-07-25T06:38:30.000000,ZONE8,251.2,DT17,2.432
2024-07-25T06:47:30.000000,ZONE7,247.5,DT30,2.017
2024-07-25T06:50:30.000000,ZONE8,246.4,DT5,2.432
2024-07-25T06:54:30.000000,ZONE7,242.1,DT27,2.06
2024-07-25T06:58:30.000000,ZONE8,247.1,DT17,2.432
2024-07-25T07:19:30.000000,ZONE8,255.4,DT19,2.432
2024-07-25T07:21:30.000000,ZONE8,256.3,DT5,2.432
2024-07-25T07:26:30.000000,ZONE9,236.7,DT23,3.012
2024-07-25T07:30:30.000000,ZONE9,239.2,DT31,3.099
2024-07-25T07:34:30.000000,ZONE8,241.3,DT19,2.432
2024-07-25T07:38:30.000000,ZONE9,251.7,DT30,3.026
2024-07-25T07:42:30.000000,ZONE9,224.1,DT25,3.039
2024-07-25T07:46:30.000000,ZONE9,257,DT28,3.053
2024-07-25T07:50:30.000000,ZONE8,239.3,DT19,2.432
2024-07-25T07:53:30.000000,ZONE9,242.7,DT5,3.097
2024-07-25T07:57:30.000000,ZONE9,243.2,DT15,3.021
2024-07-25T08:02:30.000000,ZONE8,235.8,DT19,2.432
2024-07-25T08:15:30.000000,ZONE9,259.6,DT32,3.078
2024-07-25T08:19:30.000000,ZONE9,225.2,DT13,3.058
2024-07-25T08:23:30.000000,ZONE8,240.4,DT19,2.432
2024-07-25T08:26:30.000000,ZONE9,253.4,DT18,3.064
2024-07-25T08:31:30.000000,ZONE9,250.7,DT28,3.052
2024-07-25T08:35:30.000000,ZONE8,232.4,DT19,2.432
2024-07-25T08:46:30.000000,ZONE9,248.9,DT29,3.02
2024-07-25T08:51:30.000000,ZONE9,241.5,DT17,3.027
2024-07-25T09:02:30.000000,ZONE8,246.1,DT19,2.432
2024-07-25T09:11:30.000000,ZONE8,248.2,DT19,2.432
2024-07-25T09:10:30.000000,ZONE9,206.3,DT18,3.039
2024-07-25T09:10:30.000000,ZONE9,228.7,DT18,3.089
2024-07-25T09:27:30.000000,ZONE9,240.5,DT20,3.078
2024-07-25T09:11:30.000000,ZONE8,238.1,DT19,2.432
2024-07-25T09:43:30.000000,ZONE9,224.6,DT31,3.049
2024-07-25T09:44:30.000000,ZONE9,198.5,DT15,3.061
2024-07-25T09:47:30.000000,ZONE8,267.4,DT19,2.432
2024-07-25T10:04:30.000000,ZONE9,228.5,DT5,3.063
2024-07-25T10:07:30.000000,ZONE9,231,DT29,3.098
2024-07-25T10:18:30.000000,ZONE4,257.7,DT5,2.167
2024-07-25T10:24:30.000000,ZONE4,248,DT29,2.182
2024-07-25T10:28:30.000000,ZONE4,256.4,DT19,2.191
2024-07-25T10:35:30.000000,ZONE4,262.6,DT5,2.21
2024-07-25T10:42:30.000000,ZONE4,251.5,DT19,2.151
2024-07-25T10:45:30.000000,ZONE9,251.8,DT5,3.079
2024-07-25T10:50:30.000000,ZONE16,253.1,DT13,1.03
2024-07-25T10:54:30.000000,ZONE4,253.2,DT1,2.125
2024-07-25T10:58:30.000000,ZONE16,259.3,DT31,1.048
2024-07-25T11:04:30.000000,ZONE4,262,DT19,2.121
2024-07-25T11:07:30.000000,ZONE16,252.6,DT18,1.014
2024-07-25T11:11:30.000000,ZONE4,274.4,DT1,2.135
2024-07-25T11:22:30.000000,ZONE4,251.4,DT18,2.131
2024-07-25T11:26:30.000000,ZONE16,267.7,DT20,1.077
2024-07-25T11:31:30.000000,ZONE16,255.5,DT15,1.094
2024-07-25T11:35:30.000000,ZONE29,63,DT6,1.086
2024-07-25T11:38:30.000000,ZONE4,252.6,DT18,2.196
